No,gpa_post,gpa_prior,rm_avg,rm_diff,or_indorm,gender,major,cohort,semester
1,0.8857142857142857,0.7523809523809524,0.38730158730158726,0.526984126984127,2,0,5,1,1
1,0.8761904761904762,0.8857142857142857,0.3746031746031746,0.546031746031746,2,0,5,1,2
1,0.9809523809523809,0.8761904761904762,0.43492063492063493,0.5968253968253968,2,0,5,1,3
1,0.6666666666666666,0.9809523809523809,0.6412698412698413,0.4825396825396826,2,0,5,1,4
2,0.1523809523809524,0.23809523809523808,0.5587301587301586,0.526984126984127,3,0,5,1,1
2,0.2761904761904762,0.1523809523809524,0.6190476190476191,0.546031746031746,3,0,5,1,2
2,0.6476190476190476,0.2761904761904762,0.6349206349206349,0.5968253968253969,3,0,5,1,3
2,0.18095238095238095,0.6476190476190476,0.7523809523809524,0.48253968253968244,3,0,5,1,4
3,0.0761904761904762,0.06666666666666667,0.6158730158730159,0.41269841269841273,4,0,5,1,1
3,0.06666666666666667,0.0761904761904762,0.6444444444444444,0.49523809523809526,4,0,5,1,2
3,0.2761904761904762,0.06666666666666667,0.7047619047619048,0.45714285714285713,4,0,5,1,3
3,0.26666666666666666,0.2761904761904762,0.8761904761904762,0.2349206349206349,4,0,5,1,4
4,0.8952380952380953,0.8571428571428571,0.3523809523809524,0.45714285714285713,1,0,5,1,1
4,0.9619047619047619,0.8952380952380953,0.3714285714285714,0.5396825396825397,1,0,5,1,2
4,1.0,0.9619047619047619,0.4063492063492063,0.5396825396825397,1,0,5,1,3
4,0.9714285714285714,1.0,0.6349206349206349,0.4698412698412698,1,0,5,1,4
5,0.7142857142857143,0.45714285714285713,0.1523809523809524,0.22222222222222224,1,0,5,1,1
5,0.9142857142857143,0.7142857142857143,0.23174603174603173,0.4000000000000001,1,0,5,1,2
5,0.9714285714285714,0.9142857142857143,0.3174603174603175,0.5142857142857143,1,0,5,1,3
5,0.8476190476190476,0.9714285714285714,0.28571428571428575,0.3174603174603175,1,0,5,1,4
6,0.09523809523809523,0.01904761904761905,0.2984126984126984,0.24761904761904763,4,0,5,1,1
6,0.18095238095238095,0.09523809523809523,0.4380952380952381,0.4761904761904762,3,0,5,1,2
6,0.22857142857142856,0.18095238095238095,0.5619047619047619,0.6095238095238095,3,0,5,1,3
6,0.22857142857142856,0.22857142857142856,0.5333333333333333,0.5968253968253968,3,0,5,1,4
7,0.6,0.3523809523809524,0.1873015873015873,0.2920634920634921,2,0,5,1,1
7,0.7714285714285715,0.6,0.2698412698412698,0.4761904761904762,2,0,5,1,2
7,0.5523809523809524,0.7714285714285715,0.36507936507936506,0.6095238095238095,2,0,5,1,3
7,0.7047619047619048,0.5523809523809524,0.4253968253968254,0.5968253968253968,2,0,5,1,4
8,0.0,0.08571428571428572,0.27619047619047615,0.2920634920634921,3,0,5,1,1
8,0.0,0.0,0.4698412698412698,0.41269841269841273,4,0,5,1,2
8,0.0761904761904762,0.0,0.6222222222222222,0.4888888888888889,4,0,5,1,3
8,0.0380952380952381,0.0761904761904762,0.5841269841269842,0.49523809523809526,4,0,5,1,4
9,0.41904761904761906,0.4666666666666667,0.5015873015873016,0.45714285714285713,2,0,5,1,1
9,0.8285714285714286,0.41904761904761906,0.5523809523809524,0.4253968253968254,2,0,5,1,2
9,0.8380952380952381,0.8285714285714286,0.6063492063492063,0.4063492063492064,2,0,5,1,3
9,0.7428571428571429,0.8380952380952381,0.5396825396825397,0.41269841269841273,2,0,5,1,4
10,0.9714285714285714,0.9428571428571428,0.3428571428571428,0.1396825396825397,1,0,5,1,1
10,0.9904761904761905,0.9714285714285714,0.3682539682539683,0.05714285714285716,1,0,5,1,2
10,0.9333333333333333,0.9904761904761905,0.5523809523809524,0.29841269841269846,1,0,5,1,3
10,0.9809523809523809,0.9333333333333333,0.5079365079365079,0.34920634920634924,1,0,5,1,4
